"Campbell, Parris",16912,IND,9001,WR,1,0,0,0,0,0,0,0,0,1,7,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carlson, Daniel",16495,OAK,9011,PK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,1,0,1,0,0,0,0
"Carr, Derek",14142,OAK,9011,QB,1,22,26,259,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carson, Chris",16107,SEA,9013,RB,1,0,0,0,0,0,0,0,0,15,46,1,0,7,6,34,1,0,0,0,0,0,0,0,0,0,0,0,1
"Carter, DeAndre",16805,HOU,9031,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chark, DJ",16405,JAC,9029,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,146,1,0,0,0,0,0,0,0,0,0,0,0,0
"Chubb, Nick",16382,CLE,9006,RB,1,0,0,0,0,0,0,0,0,17,75,0,0,4,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clay, Charles",12028,ARI,9017,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cobb, Randall",11918,DAL,9014,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4,69,1,0,0,0,0,0,0,0,0,0,0,0,0
"Cohen, Tarik",16001,CHI,9019,RB,1,0,0,0,0,0,0,0,0,0,0,0,0,10,8,49,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coleman, Tevin",14845,SF,9027,RB,1,0,0,0,0,0,0,0,0,6,23,0,0,3,2,33,0,0,0,0,0,0,0,0,0,0,0,0,0
"Conley, Chris",14849,JAC,9029,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,7,6,97,1,0,0,0,0,0,0,0,0,0,0,0,0
"Conner, James",15988,PIT,9008,RB,1,0,0,0,0,0,0,0,0,10,21,0,0,4,4,44,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cook, Dalvin",15930,MIN,9022,RB,1,0,0,0,0,0,0,0,0,21,111,2,0,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cook, Jared",11089,NO,9026,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,37,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cooks, Brandin",14164,LAR,9025,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,6,2,39,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cooper, Amari",14852,DAL,9014,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,9,6,106,1,0,0,0,0,0,0,0,0,0,0,0,0
"Cousins, Kirk",12376,MIN,9022,QB,1,8,10,98,0,1,0,1,1,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crosby, Mason",3189,GB,9021,PK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0
"Crowder, Jamison",14860,NYJ,9004,WR,1,0,0,0,0,0,0,0,0,1,4,0,0,17,14,99,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dalton, Andy",11889,CIN,9005,QB,1,35,51,418,0,2,0,5,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Darnold, Sam",16358,NYJ,9004,QB,1,28,41,175,0,1,1,4,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Davis, Corey",15898,TEN,9007,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Davis, Mike",15290,CHI,9019,RB,1,0,0,0,0,0,0,0,0,5,19,0,0,7,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0
"Davis, Trevor",15549,GB,9021,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0
"Davis, Vernon",2606,WAS,9018,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,7,4,59,1,0,0,0,0,0,0,0,0,0,0,0,0
"Diggs, Stefon",14887,MIN,9022,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,37,0,0,0,0,0,0,0,0,0,0,0,0,0
"DiMarco, Patrick",12622,BUF,9000,RB,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dissly, Will",16454,SEA,9013,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dorsett, Phillip",14890,NE,9003,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,95,2,0,0,0,0,0,0,0,0,0,0,0,0
"Doyle, Jack",13686,IND,9001,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0
"Drake, Kenyan",15558,MIA,9002,RB,1,0,0,0,0,0,0,0,0,4,12,0,0,3,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ebron, Eric",14203,IND,9001,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"Edelman, Julian",11232,NE,9003,WR,1,1,1,32,0,0,0,0,0,1,8,0,0,11,6,83,0,0,0,0,0,0,0,0,0,0,0,0,0
"Edmonds, Chase",16466,ARI,9017,RB,1,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Edwards, Gus",16783,BAL,9030,RB,1,0,0,0,0,0,0,0,0,17,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eifert, Tyler",13209,CIN,9005,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,27,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ekeler, Austin",16161,LAC,9012,RB,1,0,0,0,0,0,0,0,0,12,58,1,0,7,6,96,2,0,0,0,0,0,0,0,0,0,0,0,0
"Elliott, Ezekiel",15562,DAL,9014,RB,1,0,0,0,0,0,0,0,0,13,53,1,0,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elliott, Jake",16029,PHI,9016,PK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,1,0,1,0,0,0,0
"Ellison, Rhett",12402,NYG,9015,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"Engram, Evan",15915,NYG,9015,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,14,11,116,1,0,0,0,0,0,0,0,0,0,0,0,0
"Enunwa, Quincy",14211,NYJ,9004,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,-4,0,0,0,0,0,0,0,0,0,0,0,0,1
"Erickson, Alex",15733,CIN,9005,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,28,0,0,0,0,0,0,0,0,0,0,0,0,1
"Ertz, Zach",13213,PHI,9016,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,7,5,54,0,0,0,0,0,0,0,0,0,0,0,0,0
"Evans, Mike",14212,TB,9023,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0
"Everett, Gerald",15933,LAR,9025,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fairbairn, Ka'imi",15735,HOU,9031,PK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0
"Fant, Noah",16883,DEN,9009,TE,1,0,0,0,0,0,0,0,0,1,-5,0,0,4,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fells, Darren",13222,HOU,9031,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fitzgerald, Larry",3061,ARI,9017,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,13,8,113,1,0,0,0,0,0,0,0,0,0,0,0,0
"Fitzpatrick, Ryan",2548,MIA,9002,QB,1,14,29,185,1,1,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flacco, Joe",2913,DEN,9009,QB,1,21,31,268,0,1,0,3,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Foles, Nick",12362,JAC,9029,QB,1,5,8,75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fournette, Leonard",15897,JAC,9029,RB,1,0,0,0,0,0,0,0,0,13,66,0,0,6,4,28,0,0,0,0,0,0,0,0,0,0,0,0,1
"Fowler, Bennie",14231,NYG,9015,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,40,0,0,0,0,0,0,0,0,0,0,0,0,0
"Freeman, Devonta",14235,ATL,9024,RB,1,0,0,0,0,0,0,0,0,8,19,0,0,4,3,12,0,0,0,0,0,0,0,0,0,0,0,0,1
"Freeman, Royce",16413,DEN,9009,RB,1,0,0,0,0,0,0,0,0,10,56,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fuller V, Will",15572,HOU,9031,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,69,0,0,0,0,0,0,0,0,0,0,0,0,0
"Funchess, Devin",14918,IND,9001,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,5,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gabriel, Taylor",14239,CHI,9019,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gage, Russell",16519,ATL,9024,WR,1,0,0,0,0,0,0,0,0,1,-1,0,0,2,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gallman, Wayne",16017,NYG,9015,RB,1,0,0,0,0,0,0,0,0,2,17,1,0,3,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gallup, Michael",16421,DAL,9014,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,7,7,158,0,0,0,0,0,0,0,0,0,0,0,0,0
"Garoppolo, Jimmy",14246,SF,9027,QB,1,18,27,166,1,1,1,1,8,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gay, Matt",17082,TB,9023,PK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,0,1,0,0,0
"Gesicki, Mike",16387,MIA,9002,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,6,2,31,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ginn Jr., Ted",2755,NO,9026,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,7,7,101,0,0,0,0,0,0,0,0,0,0,0,0,0
"Godwin, Chris",15968,TB,9023,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,6,3,53,1,0,0,0,0,0,0,0,0,0,0,0,0
"Goedert, Dallas",16394,PHI,9016,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0
"Goff, Jared",15574,LAR,9025,QB,1,23,39,186,1,1,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Golladay, Kenny",15979,DET,9020,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,9,4,42,1,0,0,0,0,0,0,0,0,0,0,0,0
"Gonzalez, Zane",16086,ARI,9017,PK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,4,0,2,1,1,0,0
"Goodwin, Marquise",13245,SF,9027,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gordon, Josh",12692,NE,9003,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,73,1,0,0,0,0,0,0,0,0,0,0,0,0
"Gore, Frank",2491,BUF,9000,RB,1,0,0,0,0,0,0,0,0,11,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gostkowski, Stephen",3180,NE,9003,PK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,4,0,1,2,1,0,0
"Gould, Robbie",3177,SF,9027,PK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,4,0,1,1,1,0,0
"Graham, Jimmy",11505,GB,9021,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,5,3,30,1,0,0,0,0,0,0,0,0,0,0,0,0
"Grant, Jakeem",15577,MIA,9002,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,-3,0,0,0,0,0,0,0,0,0,0,0,0,1
"Grant, Ryan",2846,OAK,9011,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0
"Green, Virgil",12058,LAC,9012,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Griffin III, Robert",12277,BAL,9030,QB,1,6,6,55,0,1,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Griffin, Ryan",13254,NYJ,9004,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guice, Derrius",16403,WAS,9018,RB,1,0,0,0,0,0,0,0,0,10,18,0,0,3,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gurley II, Todd",14946,LAR,9025,RB,1,0,0,0,0,0,0,0,0,14,97,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hamilton, DaeSean",16447,DEN,9009,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hardman, Mecole",16909,KC,9010,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hardy, Justin",14957,ATL,9024,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4,41,0,0,0,0,0,0,0,0,0,0,0,0,0
"Harmon, Kelvin",17039,WAS,9018,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,31,0,0,0,0,0,0,0,0,0,0,0,0,0
"Harris, Demetrius",13721,CLE,9006,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Harris, Dwayne",12030,OAK,9011,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hauschka, Stephen",3202,BUF,9000,PK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,0,0,1,0,0
"Henderson, Darrell",16923,LAR,9025,RB,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Henry, Derrick",15585,TEN,9007,RB,1,0,0,0,0,0,0,0,0,19,84,1,0,2,1,75,1,0,0,0,0,0,0,0,0,0,0,0,0
"Henry, Hunter",15586,LAC,9012,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4,60,0,0,0,0,0,0,0,0,0,0,0,0,0
"Higbee, Tyler",15588,LAR,9025,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4,20,1,0,0,0,0,0,0,0,0,0,0,0,0
"Higgins, Rashard",15589,CLE,9006,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,46,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hill, Josh",13732,NO,9026,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hill, Justice",16959,BAL,9030,RB,1,0,0,0,0,0,0,0,0,7,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hill, Taysom",16246,NO,9026,QB,1,0,0,0,0,0,0,0,0,2,8,0,0,2,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0
"Hill, Tyreek",15590,KC,9010,WR,1,0,0,0,0,0,0,0,0,1,5,0,0,2,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hilliard, Dontrell",16779,CLE,9006,RB,1,0,0,0,0,0,0,0,0,1,4,1,0,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hilton, T.Y.",12366,IND,9001,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,9,8,87,2,0,0,0,0,0,0,0,0,0,0,0,0
"Hines, Nyheim",16439,IND,9001,RB,1,0,0,0,0,0,0,0,0,4,13,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hockenson, T.J.",16874,DET,9020,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,9,6,131,1,0,0,0,0,0,0,0,0,0,0,0,0
