Miami,MIA,9002,1,23,10,291,72,26,53,244,1,6,45,10,13,47,0,1,3,3,2,0,1,0,0,0,0,0,0,10,77,2,2,3,3,20,2,15,3,1,14,2,4,32:47,0
Minnesota,MIN,9022,1,24,34,469,77,28,43,352,2,0,0,7,33,117,2,0,0,1,10,0,1,1,0,0,0,0,0,5,52,3,3,1,1,28,10,16,2,5,13,0,1,23:41,0
New England,NE,9003,1,23,21,286,61,18,27,150,2,0,0,3,34,136,0,2,5,0,0,0,2,2,0,0,0,0,0,4,36,2,2,3,3,15,7,6,2,4,13,0,0,37:43,0
New Orleans,NO,9026,1,23,17,367,55,25,38,279,2,3,25,3,14,88,0,2,2,1,0,0,2,1,0,0,0,0,0,6,57,2,2,3,3,18,3,14,1,3,11,0,1,35:11,0
New York Giants,NYG,9015,1,31,36,331,74,36,49,244,2,2,19,5,23,87,0,0,0,1,91,0,1,0,0,0,0,0,0,6,52,4,4,1,1,22,3,17,2,5,15,0,0,22:50,0
New York Jets,NYJ,9004,1,18,17,250,59,15,31,185,1,3,25,1,25,65,1,2,3,1,38,0,1,1,0,0,1,0,0,6,45,1,1,3,3,12,2,10,0,6,16,0,0,32:22,0
Oakland,OAK,9011,1,17,21,274,53,18,23,147,2,4,31,1,26,127,1,1,3,0,0,0,0,0,0,0,0,0,0,8,51,2,2,1,2,18,7,9,2,6,10,0,1,32:47,0
Philadelphia,PHI,9016,1,33,27,382,70,30,49,308,2,3,21,6,18,74,1,2,5,2,1,0,1,1,0,0,1,0,0,8,65,4,4,1,1,25,6,19,0,2,10,1,2,32:39,0
Pittsburg,PIT,9008,1,9,16,229,63,11,20,117,0,1,8,2,42,112,1,4,8,0,0,0,0,0,0,0,1,0,0,4,47,1,1,0,0,17,10,6,1,6,15,1,1,25:59,0
San Diego,SD,9012,1,28,31,449,75,34,45,329,3,2,17,7,28,120,0,0,0,1,0,0,0,0,0,0,0,0,0,7,55,4,4,0,0,26,5,19,2,6,13,1,2,23:29,0
Seattle,SEA,9013,1,12,7,243,49,16,23,119,1,1,6,1,25,124,0,0,0,0,0,0,2,2,0,0,0,0,1,9,109,0,1,2,2,16,5,8,3,5,11,0,0,30:14,0
San Francisco,SF,9027,1,34,28,385,58,21,37,322,3,2,11,6,19,63,1,1,3,1,0,0,1,1,0,0,0,0,0,11,85,4,4,2,3,23,5,16,2,4,10,0,0,38:35,0
St. Louis,STL,9025,1,27,24,390,70,26,40,304,2,4,23,9,26,86,0,4,6,1,29,0,3,1,0,0,0,1,1,7,59,2,2,4,4,25,4,19,2,7,14,0,0,28:35,0
Tampa Bay,TB,9023,1,17,18,304,73,24,39,214,1,5,42,5,29,90,0,5,5,1,7,0,2,1,0,0,0,0,0,13,102,2,2,1,1,22,5,12,5,7,18,0,0,27:38,0
Tennessee,TEN,9007,1,16,9,195,53,21,33,163,1,5,28,6,15,32,0,2,8,1,0,0,0,1,0,0,0,0,0,6,60,1,1,3,3,14,0,13,1,4,13,1,1,34:01,0
Washington,WAS,9018,1,27,33,443,77,15,25,180,2,3,23,3,49,263,2,4,15,0,0,0,2,2,0,1,0,0,1,10,75,3,4,0,1,26,14,11,1,7,15,1,1,27:21,1
