"Bennett, Martellus","2892        ","DAL","9014","TE","16","10","0  ","0  ","0   ","0 ","0 ","0","0","0","0       ","0   ","0 ","0","48","33   ","260 ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Bennett, Michael A.","1934       ","OAK","9011","RB","7","0","0    ","0  ","0   ","0 ","0 ","0","0","0","2       ","11  ","0 ","0","2","2     ","9   ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Benson, Cedric","2474            ","CIN","9005","RB","16","16","0  ","0  ","0   ","0 ","0 ","0","0","0","321     ","1111","7 ","1","37","28   ","178 ","1 ","0","0","0","0","0        ","0  ","0","0","0","0","0","5"
"Berrian, Bernard","3097          ","MIN","9022","WR","15","9","0   ","0  ","0   ","0 ","0 ","0","0","0","1       ","-8  ","0 ","0","54","28   ","247 ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Bess, Davone","2986              ","MIA","9002","WR","16","8","0   ","0  ","0   ","0 ","0 ","0","0","0","2       ","-3  ","0 ","0","122","79  ","820 ","5 ","0","0","0","0","0        ","0  ","0","0","0","0","0","2"
"Best, Jahvid","11440             ","DET","9020","RB","16","10","0  ","1  ","0   ","0 ","0 ","0","0","0","172     ","563 ","4 ","0","80","58   ","487 ","2 ","0","0","0","0","0        ","0  ","0","0","0","0","0","1"
"Betts, Ladell","2117             ","NO ","9026","RB","8","1","0    ","0  ","0   ","0 ","0 ","0","0","0","45      ","150 ","2 ","0","30","23   ","141 ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","1"
"Bidwell, Josh","3002             ","WAS","9018","P ","4","0","0    ","0  ","0   ","0 ","0 ","0","0","0","1       ","0   ","0 ","0","0","0     ","0   ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Bironas, Rob","3173              ","TEN","9007","PK","16","0","0   ","0  ","0   ","0 ","0 ","0","0","0","0       ","0   ","0 ","0","0","0     ","0   ","0 ","0","38","38","0","24     ","26 ","0","6","8","8","2","0"
"Blount, LeGarrette","11746       ","TB ","9023","RB","13","7","0   ","0  ","0   ","0 ","0 ","0","0","0","201     ","1007","6 ","0","6","5     ","14  ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","3"
"Boldin, Anquan","2267            ","BAL","9030","WR","16","16","1  ","1  ","-6  ","0 ","0 ","0","0","0","2       ","2   ","0 ","0","109","64  ","837 ","7 ","0","0","0","0","0        ","0  ","0","0","0","0","0","1"
"Bolen, Brock","11379             ","JAC","9029","RB","4","0","0    ","0  ","0   ","0 ","0 ","0","0","0","0       ","0   ","0 ","0","3","1     ","15  ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Boller, Kyle","2259              ","OAK","9011","QB","10","0","2   ","4  ","25  ","1 ","0 ","0","1","6","7       ","18  ","0 ","0","0","0     ","0   ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Booker, Lorenzo","2774           ","MIN","9022","RB","4","0","0    ","0  ","0   ","0 ","0 ","0","0","0","0       ","0   ","0 ","0","6","5     ","32  ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","1"
"Boss, Kevin","2800               ","NYG","9015","TE","15","13","0  ","0  ","0   ","0 ","0 ","0","0","0","0       ","0   ","0 ","0","70","35   ","531 ","5 ","0","0","0","0","0        ","0  ","0","0","0","0","0","1"
"Bouman, Todd","1554              ","JAC","9029","QB","4","1","18   ","34 ","222 ","2 ","2 ","0","1","6","2       ","8   ","0 ","0","0","0     ","0   ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Bowe, Dwayne","2758              ","KC ","9010","WR","16","16","0  ","0  ","0   ","0 ","0 ","0","0","0","1       ","4   ","0 ","0","133","72  ","1162","15","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Bradford, Sam","11411            ","STL","9025","QB","16","16","354","590","3512","15","18","0","34","244","27   ","63  ","1 ","0","0","0     ","0   ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","2"
"Bradshaw, Ahmad","2832           ","NYG","9015","RB","16","11","0  ","0  ","0   ","0 ","0 ","0","0","0","276     ","1235","8 ","1","58","47   ","314 ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","6"
"Brady, Tom","1812                ","NE ","9003","QB","16","16","324","492","3900","4 ","36","0","25","175","31   ","30  ","1 ","0","0","0     ","0   ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","1"
"Branch, Deion","2119             ","NE ","9003","WR","15","11","0  ","0  ","0   ","0 ","0 ","0","0","0","0       ","0   ","0 ","0","92","61   ","818 ","6 ","0","0","0","0","0        ","0  ","0","0","0","0","0","1"
"Breaston, Steve","2796           ","ARI","9017","WR","13","11","1  ","2  ","17  ","0 ","0 ","0","0","0","3       ","35  ","0 ","0","87","47   ","718 ","1 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Brees, Drew","1937               ","NO ","9026","QB","16","16","448","658","4620","22","33","0","26","195","18   ","-3  ","0 ","0","1","1     ","7   ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","2"
"Brinkley, Curtis","11756         ","SD ","9012","RB","4","0","0    ","0  ","0   ","0 ","0 ","0","0","0","2       ","11  ","0 ","0","0","0     ","0   ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Briscoe, Dezmon","11601          ","TB ","9023","WR","2","0","0    ","0  ","0   ","0 ","0 ","0","0","0","0       ","0   ","0 ","0","7","6     ","93  ","1 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Britt, Kenny","11030             ","TEN","9007","WR","12","6","0   ","0  ","0   ","0 ","0 ","0","0","0","0       ","0   ","0 ","0","73","42   ","775 ","9 ","1","0","0","0","0        ","0  ","0","0","0","0","0","1"
"Brohm, Brian","2897              ","BUF","9000","QB","13","1","10  ","23 ","106 ","3 ","0 ","0","3","5","0       ","0   ","0 ","0","0","0     ","0   ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","1"
"Brooks, Chris","11796            ","IND","9001","WR","1","0","0    ","0  ","0   ","0 ","0 ","0","0","0","0       ","0   ","0 ","0","0","0     ","0   ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Brown, Aaron","11192             ","DET","9020","RB","6","0","0    ","0  ","0   ","0 ","0 ","0","0","0","17      ","58  ","0 ","0","13","8    ","45  ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Brown, Andre","11129             ","CAR","9028","RB","5","0","0    ","0  ","0   ","0 ","0 ","0","0","0","2       ","-1  ","0 ","0","0","0     ","0   ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Brown, Antonio","11605           ","PIT","9008","WR","9","0","0    ","0  ","0   ","0 ","0 ","0","0","0","0       ","0   ","0 ","0","19","16   ","167 ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Brown, Donald","11027            ","IND","9001","RB","13","8","0   ","0  ","0   ","0 ","0 ","0","0","0","129     ","497 ","2 ","0","28","20   ","205 ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Brown, Josh","3055               ","STL","9025","PK","16","0","0   ","0  ","0   ","0 ","0 ","0","0","0","0       ","0   ","0 ","0","0","0     ","0   ","0 ","0","26","27","0","33     ","39 ","2","11","12","7","3","0"
"Brown, Kris","1681               ","SD ","9012","PK","3","0","0    ","0  ","0   ","0 ","0 ","0","0","0","0       ","0   ","0 ","0","0","0     ","0   ","0 ","0","8","8","0","4        ","5  ","0","1","3","0","0","0"
"Brown, Levi","11619              ","BUF","9000","QB","2","0","2    ","3  ","24  ","1 ","0 ","0","0","0","0       ","0   ","0 ","0","0","0     ","0   ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Brown, Ronnie","2472             ","MIA","9002","RB","16","16","0  ","2  ","0   ","0 ","0 ","0","0","0","200     ","734 ","5 ","0","42","33   ","242 ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","2"
"Brunell, Mark","989              ","NYJ","9004","QB","16","0","7   ","13 ","117 ","1 ","2 ","0","1","7","0       ","0   ","0 ","0","0","0     ","0   ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Bryan, Chris","11744             ","TB ","9023","P ","4","0","0    ","0  ","0   ","0 ","0 ","0","0","0","0       ","0   ","0 ","0","0","0     ","0   ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Bryant, Dez","11434              ","DAL","9014","WR","12","2","0   ","0  ","0   ","0 ","0 ","0","0","0","1       ","0   ","0 ","0","72","45   ","561 ","6 ","0","0","0","0","0        ","0  ","0","0","0","0","0","1"
"Bryant, Matt","3045              ","ATL","9024","PK","16","0","0   ","0  ","0   ","0 ","0 ","0","0","0","0       ","0   ","0 ","0","0","0     ","0   ","0 ","0","44","44","0","28     ","31 ","1","11","8","8","1","0"
"Buckhalter, Correll","1965       ","DEN","9009","RB","16","0","0   ","0  ","0   ","0 ","0 ","0","0","0","59      ","147 ","2 ","0","39","28   ","240 ","2 ","0","0","0","0","0        ","0  ","0","0","0","0","0","1"
"Buckley, Eldra","11297           ","PHI","9016","RB","16","0","0   ","0  ","0   ","0 ","0 ","0","0","0","21      ","67  ","0 ","0","2","1     ","10  ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","1"
"Buehler, David","11172           ","DAL","9014","PK","16","0","0   ","0  ","0   ","0 ","0 ","0","0","0","0       ","0   ","0 ","0","0","0     ","0   ","0 ","0","42","44","1","24     ","32 ","0","8","4","8","4","0"
"Bulger, Marc","1802              ","BAL","9030","QB","16","0","0   ","0  ","0   ","0 ","0 ","0","0","0","0       ","0   ","0 ","0","0","0     ","0   ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Burleson, Nate","2273            ","DET","9020","WR","14","14","0  ","0  ","0   ","0 ","0 ","0","0","0","7       ","81  ","0 ","0","86","55   ","625 ","6 ","0","0","0","0","0        ","0  ","0","0","0","0","0","2"
"Bush, Michael","2787             ","OAK","9011","RB","14","3","0   ","0  ","0   ","0 ","0 ","0","0","0","158     ","655 ","8 ","0","24","18   ","194 ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Bush, Reggie","2604              ","NO ","9026","RB","8","6","0    ","0  ","0   ","0 ","0 ","0","0","0","36      ","150 ","0 ","0","42","34   ","208 ","1 ","0","0","0","0","0        ","0  ","0","0","0","0","0","1"
"Butler, Deon","11091             ","SEA","9013","WR","13","8","0   ","0  ","0   ","0 ","0 ","0","0","0","2       ","6   ","0 ","0","70","36   ","385 ","4 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Byham, Nate","11592              ","SF ","9027","TE","14","3","0   ","0  ","0   ","0 ","0 ","0","0","0","0       ","0   ","0 ","0","7","5     ","27  ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Caldwell, Andre","2900           ","CIN","9005","WR","15","5","0   ","0  ","0   ","0 ","0 ","0","0","0","1       ","-2  ","0 ","0","37","25   ","345 ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","1"
"Calhoun, Duke","11720            ","NYG","9015","WR","9","0","0    ","0  ","0   ","0 ","0 ","0","0","0","0       ","0   ","0 ","0","2","1     ","4   ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Camarillo, Greg","2703           ","MIN","9022","WR","16","1","0   ","0  ","0   ","0 ","0 ","0","0","0","0       ","0   ","0 ","0","34","20   ","240 ","1 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Campbell, Jason","2481           ","OAK","9011","QB","16","12","194","329","2387","8 ","13","0","33","208","47   ","222 ","1 ","0","0","0     ","0   ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","1"
"Carlson, John","2901             ","SEA","9013","TE","15","13","0  ","0  ","0   ","0 ","0 ","0","0","0","0       ","0   ","0 ","0","58","31   ","318 ","1 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Carney, John","691               ","NO ","9026","PK","2","0","0    ","0  ","0   ","0 ","0 ","0","0","0","0       ","0   ","0 ","0","0","0     ","0   ","0 ","0","3","3","0","5        ","6  ","0","1","4","0","0","0"
"Carpenter, Dan","3201            ","MIA","9002","PK","16","0","0   ","0  ","0   ","0 ","0 ","0","0","0","0       ","0   ","0 ","0","0","0     ","0   ","0 ","0","25","25","0","30     ","41 ","2","10","5","11","4","0"
"Carr, David","2096               ","SF ","9027","QB","9","0","5    ","13 ","67  ","1 ","0 ","0","1","5","0       ","0   ","0 ","0","0","0     ","0   ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Carter, Todd","11679             ","CAR","9028","PK","1","0","0    ","0  ","0   ","0 ","0 ","0","0","0","0       ","0   ","0 ","0","0","0     ","0   ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Cartwright, Rock","2197          ","OAK","9011","RB","16","0","0   ","0  ","0   ","0 ","0 ","0","0","0","9       ","22  ","0 ","0","3","1     ","10  ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Casey, James","11152             ","HOU","9031","TE","16","4","0   ","0  ","0   ","0 ","0 ","0","0","0","0       ","0   ","0 ","0","14","8    ","98  ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Cassel, Matt","2541              ","KC ","9010","QB","15","15","262","450","3116","7 ","27","0","26","182","33   ","125 ","0 ","0","0","0     ","0   ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","1"
"Castille, Tim","2835             ","KC ","9010","RB","10","4","0   ","0  ","0   ","0 ","0 ","0","0","0","5       ","3   ","0 ","0","12","10   ","43  ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Caulcrick, Jehuu","11803         ","BUF","9000","RB","3","0","0    ","0  ","0   ","0 ","0 ","0","0","0","1       ","2   ","0 ","0","0","0     ","0   ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Celek, Brent","2803              ","PHI","9016","TE","16","15","0  ","0  ","0   ","0 ","0 ","0","0","0","0       ","0   ","0 ","0","80","42   ","511 ","4 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Chambers, Chris","1944           ","KC ","9010","WR","13","7","0   ","0  ","0   ","0 ","0 ","0","0","0","0       ","0   ","0 ","0","43","22   ","213 ","1 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Chandler, Scott","2793           ","BUF","9000","TE","14","1","0   ","0  ","0   ","0 ","0 ","0","0","0","0       ","0   ","0 ","0","3","1     ","8   ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Charles, Jamaal","2902           ","KC ","9010","RB","16","7","0   ","0  ","0   ","0 ","0 ","0","0","0","230     ","1467","5 ","0","64","45   ","468 ","3 ","0","0","0","0","0        ","0  ","0","0","0","0","0","2"
"Choice, Tashard","2903           ","DAL","9014","RB","16","0","0   ","0  ","0   ","0 ","0 ","0","0","0","66      ","243 ","3 ","0","22","17   ","109 ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","1"
